verb;en_US;past participle;auxiliary;level;chapter
ärgern über;to be mad about;geärgert;haben;a2.2;17
denken an;to think about;gedacht;haben;a2.2;17
freuen auf;to look forward to;gefreut;haben;a2.2;17
sprechen über;to talk about;gesprochen;haben;a2.2;18
träumen von;to dream of;geträumt;haben;a2.2;18
treffen mit;to meet with;getroffen;haben;a2.2;18
eröffnen;to open;eröffnet;haben;a2.2;19
verlängern;to extend;verlängert;haben;a2.2;19
verpassen;to miss;verpasst;haben;a2.2;19
lohnen;to be worth;gelohnt;haben;a2.2;19
probieren;to try;probiert;haben;a2.2;20
recht haben;to be right;recht gehabt;haben;a2.2;20
unternehmen;to undertake;unternommen;haben;a2.2;20
weggehen;to go away;weggegangen;sein;a2.2;20
abstimmen;to vote;abgestimmt;haben;a2.2;20
absperren;to shut off;abgesperrt;haben;a2.2;21
anfassen;to touch;angefasst;haben;a2.2;21
stehlen;to steal;gestohlen;haben;a2.2;21
ändern;to change;geändert;haben;a2.2;21
brennen;to burn;gebrannt;haben;a2.2;21
nähen;to sew;genäht;haben;a2.2;22
reinigen;to clean;gereinigt;haben;a2.2;22
schneiden;to cut;geschnitten;haben;a2.2;22
waschen;to wash;gewaschen;haben;a2.2;22
besitzen;to possess;besessen;;a2.2;22
erreichen;to reach;erreicht;haben;a2.2;22
mieten;to rent;gemietet;haben;a2.2;22
teilen;to share;geteilt;haben;a2.2;22
anklicken;to click;angeklickt;haben;a2.2;22
bestätigen;to confirm;bestätigt;haben;a2.2;22
wählen;to choose;gewählt;haben;a2.2;22
kündigen;to cancel;gekündigt;haben;a2.2;23
kopieren;to copy;kopiert;haben;a2.2;23
stören;to disturb;gestört;haben;a2.2;23
vorhaben;to plan;vorgehabt;haben;a2.2;24
beantragen;to apply for;beantragt;haben;a2.2;24
leiten;to conduct;geleitet;haben;a2.2;24
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
